Time,Total Pedestrians,Mean Speed,Waiting Pedestrians,Average Route Time,Throughput,Max Pedestrian Density,Max Density Lane,Max Waiting Time,Total Distance Traveled,Average Distance,Deviation from Shortest Route
04:25:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:26:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:27:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:28:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:29:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:30:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:31:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:32:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:33:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:34:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
